sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:sourceConceptId,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,ADD_INFO:auto_concept_id_equivalence,ADD_INFO:sourceName_fi,ADD_INFO:validationMessages,ADD_INFO:autoUpdatingInfo
1848X,"Malignant neoplasm of other and unspecified female genital organs, Other specified sites of female genital organs",0,201238,0.7,APPROVED,EQUIVALENT,Javier,1642756805650,201238,Primary malignant neoplasm of female genital organ,Condition,MAPS_TO,,<auto>,1642597795557,,2000401601,5-char ICD9fi,Condition,1970-01-01,2099-12-31,184,,unique_parent_match,NEOPLASMA MALIGNUM GENITALIUM MULIERIS LOCO ALIO,,"2025-06-30 | conceptName changed from Neoplasm, malignant of other specified parts of female genital organs to Primary malignant neoplasm of female genital organ"
6808A,"Carbuncle and furuncle, Other specified sites[CARBUNCULUS LOCO MULTIPLICI]",0,36715557,0.34,APPROVED,NARROWER,Javier,1642756738661,36715557,Pyogenic infection of skin and subcutaneous tissues caused by bacterium,Condition,MAPS_TO,,<auto>,1642597796615,,2000405378,5-char ICD9fi,Condition,1970-01-01,2099-12-31,680,,parent_match,CARBUNCULUS LOCO MULTIPLICI,,"2025-06-30 | conceptName changed from Closed fracture of mandible, multiple sites to Pyogenic infection of skin and subcutaneous tissues caused by bacterium"
5587A,Other non-infective gastro-enteritis and colitis[POLYPUS NONNEOPLASTICUS COLI],49,4043371,0.54,APPROVED,NARROWER,Javier,1642756721361,4043371,Inflammatory disorder of digestive tract,Condition,MAPS_TO,,<auto>,1642597797062,,2000404424,5-char ICD9fi,Condition,1970-01-01,2099-12-31,558,,grandparent_match,POLYPUS NONNEOPLASTICUS COLI,,2025-06-30 | conceptName changed from Noninfective enteritis and colitis to Inflammatory disorder of digestive tract | 2025-03-27 | conceptName changed from Non-infective enteritis and colitis to Noninfective enteritis and colitis
7300X,"Osteomyelitis, periostitis and other infections involving bone, Acute osteomyelitis[OSTEOMYELITIS ACUTA,TARKEMMIN MÄÄRITTELEMÄTÖN]",0,133002,0.31,APPROVED,NARROWER,Javier,1642756738661,133002,Acute osteomyelitis,Condition,MAPS_TO,,<auto>,1642597797402,,2000406130,5-char ICD9fi,Condition,1970-01-01,2099-12-31,730,,parent_match,"OSTEOMYELITIS ACUTA,TARKEMMIN MÄÄRITTELEMÄTÖN",,
4878X,"Influenza, With other manifestations",79,4266367,0.53,APPROVED,EQUIVALENT,Javier,1642756805650,4266367,Influenza,Condition,MAPS_TO,,<auto>,1642597798862,,2000403977,5-char ICD9fi,Condition,1970-01-01,2099-12-31,487,,unique_parent_match,INFLUENZA ALIA DEFINITA SEU NUD,,2025-06-30 | conceptName changed from Influenza with non-respiratory manifestation to Influenza
1178A,"Other mycoses, Infection by dematiacious fungi [Phaehyphomycosis][PHAEOHYPHOMYCOSIS]",0,438365,0.5,APPROVED,NARROWER,Javier,1642756738661,438365,Phaeohyphomycosis,Condition,MAPS_TO,,<auto>,1642597799135,,2000400856,5-char ICD9fi,Condition,1970-01-01,2099-12-31,117,,parent_match,PHAEOHYPHOMYCOSIS,,
3620A,"Other retinal disorders, Diabetic retinopathy[RETINOPATHIA DIABETICA NON PROLIFERATIVA]",23,4174977,0.57,APPROVED,NARROWER,Javier,1642756738661,4174977,Retinopathy due to diabetes mellitus,Condition,MAPS_TO,,<auto>,1642597799290,,2000403232,5-char ICD9fi,Condition,1970-01-01,2099-12-31,362,,parent_match,RETINOPATHIA DIABETICA NON PROLIFERATIVA,,2025-06-30 | conceptName changed from Nonproliferative retinopathy due to diabetes mellitus to Retinopathy due to diabetes mellitus
1849X,"Malignant neoplasm of other and unspecified female genital organs, Female genital organ, site unspecified",0,201238,0.64,APPROVED,EQUIVALENT,Javier,1642756805650,201238,Primary malignant neoplasm of female genital organ,Condition,MAPS_TO,,<auto>,1642597801122,,2000401602,5-char ICD9fi,Condition,1970-01-01,2099-12-31,184,,unique_parent_match,NEOPLASMA MALIGNUM GENITALIUM MULIERIS NUD,,"2025-06-30 | conceptName changed from Neoplasm, malignant of other specified parts of female genital organs to Primary malignant neoplasm of female genital organ"
6808X,"Carbuncle and furuncle, Other specified sites[CARBUNCULUS ALIO LOCO DEFINITO]",22,36715557,0.3,APPROVED,NARROWER,Javier,1642756738661,36715557,Pyogenic infection of skin and subcutaneous tissues caused by bacterium,Condition,MAPS_TO,,<auto>,1642597801553,,2000405379,5-char ICD9fi,Condition,1970-01-01,2099-12-31,680,,parent_match,CARBUNCULUS ALIO LOCO DEFINITO,,2025-06-30 | conceptName changed from Peritoneal inclusion cysts of other specified parts of male genital organs to Pyogenic infection of skin and subcutaneous tissues caused by bacterium
1178B,"Other mycoses, Infection by dematiacious fungi [Phaehyphomycosis][RHIZOPUSIOSIS]",0,438365,0.4,APPROVED,NARROWER,Javier,1642756738661,438365,Phaeohyphomycosis,Condition,MAPS_TO,,<auto>,1642597802904,,2000400857,5-char ICD9fi,Condition,1970-01-01,2099-12-31,117,,parent_match,RHIZOPUSIOSIS,,2025-06-30 | conceptName changed from Infection by Rhizopus to Phaeohyphomycosis
490,"Bronchitis, not specified as acute or chronic",0,256451,0.53,APPROVED,EQUAL,Javier,1642756146926,256451,Bronchitis,Condition,MAPS_TO,,<auto>,1642597803296,,2000403978,3-char ICD9fi,Condition,1970-01-01,2099-12-31,490-496,,full_match,BRONCHITIS NUD,,2025-06-30 | conceptName changed from Acute bronchitis to Bronchitis
3620B,"Other retinal disorders, Diabetic retinopathy[RETINOPATHIA DIABETICA PROLIFERATIVA]",167,4174977,0.56,APPROVED,NARROWER,Javier,1642756738661,4174977,Retinopathy due to diabetes mellitus,Condition,MAPS_TO,,<auto>,1642597803896,,2000403233,5-char ICD9fi,Condition,1970-01-01,2099-12-31,362,,parent_match,RETINOPATHIA DIABETICA PROLIFERATIVA,,2025-06-30 | conceptName changed from Proliferative retinopathy due to diabetes mellitus to Retinopathy due to diabetes mellitus
185,Malignant neoplasm of prostate,0,200962,0.88,APPROVED,EQUAL,Javier,1642756146926,200962,Primary malignant neoplasm of prostate,Condition,MAPS_TO,,<auto>,1642597803973,,2000401603,3-char ICD9fi,Condition,1970-01-01,2099-12-31,179-189,,full_match,NEOPLASMA MALIGNUM PROSTATAE,,
6809X,"Carbuncle and furuncle, Unspecified site",10,36715557,0.42,APPROVED,EQUIVALENT,Javier,1642756805650,36715557,Pyogenic infection of skin and subcutaneous tissues caused by bacterium,Condition,MAPS_TO,,<auto>,1642597804091,,2000405380,5-char ICD9fi,Condition,1970-01-01,2099-12-31,680,,unique_parent_match,CARBUNCULUS NUD,,2025-06-30 | conceptName changed from Carbuncle of upper arm and forearm to Pyogenic infection of skin and subcutaneous tissues caused by bacterium
5589X,"Other non-infective gastro-enteritis and colitis, Other and unspecified non-infectious gastro-enteritis and colitis",95,4043371,0.58,APPROVED,EQUIVALENT,Javier,1642756805650,4043371,Inflammatory disorder of digestive tract,Condition,MAPS_TO,,<auto>,1642597804297,,2000404425,5-char ICD9fi,Condition,1970-01-01,2099-12-31,558,,unique_parent_match,MUU EI-INFEKTIOOSI SUOLISTOSAIRAUS,,2025-06-30 | conceptName changed from Noninfective enteritis and colitis to Inflammatory disorder of digestive tract | 2025-03-27 | conceptName changed from Non-infective enteritis and colitis to Noninfective enteritis and colitis
9444E,"Burn of wrist(s) and hand(s), Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part[COMBUST CARPI/MANUS GR III CUM NECR PROF,>70%]",0,81757,0.34,APPROVED,NARROWER,Javier,1642756738661,81757,Deep third degree burn of upper limb,Condition,MAPS_TO,,<auto>,1642597804836,,2000408314,5-char ICD9fi,Condition,1970-01-01,2099-12-31,944,,parent_match,"COMBUST CARPI/MANUS GR III CUM NECR PROF,>70%",,2025-06-30 | conceptName changed from Deep third degree burn of wrist to Deep third degree burn of upper limb
7301A,"Osteomyelitis, periostitis and other infections involving bone, Chronic osteomyelitis[OSTEOMYELITIS CHRONICA,OLKANIVELEN SEUTU]",0,134735,0.38,APPROVED,NARROWER,Javier,1642756738661,134735,Chronic osteomyelitis,Condition,MAPS_TO,,<auto>,1642597805306,,2000406131,5-char ICD9fi,Condition,1970-01-01,2099-12-31,730,,parent_match,"OSTEOMYELITIS CHRONICA,OLKANIVELEN SEUTU",,
1179X,"Other mycoses, Other and unspecified mycoses",0,433701,0.57,APPROVED,EQUIVALENT,Javier,1642756805650,433701,Mycosis,Condition,MAPS_TO,,<auto>,1642597805672,,2000400858,5-char ICD9fi,Condition,1970-01-01,2099-12-31,117,,unique_parent_match,MYCOSES ALIA DEFINITA SEU NUD,,"2025-06-30 | conceptName changed from Poroma, NOS, of skin of other and unspecified parts of face to Mycosis"
1850A,Malignant neoplasm of prostate[NEOPLASMA MALIGNUM PROSTATAE],187,200962,0.57,APPROVED,NARROWER,Javier,1642756721361,200962,Primary malignant neoplasm of prostate,Condition,MAPS_TO,,<auto>,1642597806707,,2000401604,5-char ICD9fi,Condition,1970-01-01,2099-12-31,185,,grandparent_match,NEOPLASMA MALIGNUM PROSTATAE,,
681,Cellulitis and abscess of finger and toe,0,4065991,1,APPROVED,EQUAL,Javier,1642756146926,4065991,Cellulitis and abscess of finger and toe,Condition,MAPS_TO,,<auto>,1642597806917,,2000405381,3-char ICD9fi,Condition,1970-01-01,2099-12-31,680-686,,full_match,CELLULITIS (PHLEGMONE) DIGITI MANUS ET PEDIS,,
118,Opportunistic mycoses,0,432248,0.93,APPROVED,EQUAL,Javier,1642756146926,432248,Opportunistic mycosis,Condition,MAPS_TO,,<auto>,1642597807183,,2000400859,3-char ICD9fi,Condition,1970-01-01,2099-12-31,110-118,,full_match,MYCOSIS OPPORTUNISTICA ALIA,,
4900A,"Bronchitis, not specified as acute or chronic[BRONCHITIS NUD]",332,256451,0.39,APPROVED,NARROWER,Javier,1642756721361,256451,Bronchitis,Condition,MAPS_TO,,<auto>,1642597807348,,2000403979,5-char ICD9fi,Condition,1970-01-01,2099-12-31,490,,grandparent_match,BRONCHITIS NUD,,2025-06-30 | conceptName changed from Acute bronchitis to Bronchitis
491,Chronic bronchitis,0,255841,1,APPROVED,EQUAL,Javier,1642756146926,255841,Chronic bronchitis,Condition,MAPS_TO,,<auto>,1642597808874,,2000403980,3-char ICD9fi,Condition,1970-01-01,2099-12-31,490-496,,full_match,BRONCHITIS CHRONICA,,
3621A,"Other retinal disorders, Other background retinopathy and retinal vascular changes",0,378416,0.58,APPROVED,EQUIVALENT,Javier,1642756805650,378416,Retinal disorder,Condition,MAPS_TO,,<auto>,1642597808983,,2000403234,5-char ICD9fi,Condition,1970-01-01,2099-12-31,362,,unique_parent_match,RETINOPATHIA NON PROLIFERATIVA  (NON DIABETICA),,2025-06-30 | conceptName changed from Nonproliferative retinopathy due to diabetes mellitus to Retinal disorder
186,Malignant neoplasm of testis,0,433716,0.88,APPROVED,EQUAL,Javier,1642756146926,433716,Primary malignant neoplasm of testis,Condition,MAPS_TO,,<auto>,1642597809002,,2000401605,3-char ICD9fi,Condition,1970-01-01,2099-12-31,179-189,,full_match,NEOPLASMA MALIGNUM TESTIS,,2025-06-30 | conceptName changed from Malignant tumor of intestine to Primary malignant neoplasm of testis
560,Intestinal obstruction without mention of hernia,0,193518,0.57,APPROVED,EQUAL,Javier,1642756146926,193518,Intestinal obstruction,Condition,MAPS_TO,,<auto>,1642597809193,,2000404426,3-char ICD9fi,Condition,1970-01-01,2099-12-31,560-569,,full_match,"OBSTRUCTIO INTESTINALIS, HERNIA NON INDICATA",,2025-06-30 | conceptName changed from Deviation of ureter without obstruction to Intestinal obstruction
1180A,Opportunistic mycoses[MYCOSIS OPPORTUNISTICA ALIA],0,432248,0.69,APPROVED,NARROWER,Javier,1642756721361,432248,Opportunistic mycosis,Condition,MAPS_TO,,<auto>,1642597809753,,2000400860,5-char ICD9fi,Condition,1970-01-01,2099-12-31,118,,grandparent_match,MYCOSIS OPPORTUNISTICA ALIA,,
7301B,"Osteomyelitis, periostitis and other infections involving bone, Chronic osteomyelitis[OSTEOMYELITIS CHRONICA,OLKAVARSI]",0,134735,0.39,APPROVED,NARROWER,Javier,1642756738661,134735,Chronic osteomyelitis,Condition,MAPS_TO,,<auto>,1642597811103,,2000406132,5-char ICD9fi,Condition,1970-01-01,2099-12-31,730,,parent_match,"OSTEOMYELITIS CHRONICA,OLKAVARSI",,
4910A,"Chronic bronchitis, Simple chronic bronchitis",78,261889,0.89,APPROVED,EQUIVALENT,Javier,1642756805650,261889,Simple chronic bronchitis,Condition,MAPS_TO,,<auto>,1642597811133,,2000403981,5-char ICD9fi,Condition,1970-01-01,2099-12-31,491,,unique_parent_match,BRONCHITIS CHRONICA NON PURULENTA,,
6810A,"Cellulitis and abscess of finger and toe, Finger[PANARITIUM DIGITORUM MANUS]",13,79898,0.6,APPROVED,NARROWER,Javier,1642756738661,79898,Cellulitis and abscess of finger,Condition,MAPS_TO,,<auto>,1642597811202,,2000405382,5-char ICD9fi,Condition,1970-01-01,2099-12-31,681,,parent_match,PANARITIUM DIGITORUM MANUS,,2025-06-30 | conceptName changed from Cellulitis and abscess of finger and toe to Cellulitis and abscess of finger
120,Schistosomiasis [bilharziasis],0,436038,0.83,APPROVED,EQUAL,Javier,1642756146926,436038,Infection by Schistosoma,Condition,MAPS_TO,,<auto>,1642597811551,,2000400861,3-char ICD9fi,Condition,1970-01-01,2099-12-31,120-129,,full_match,SCHISTOSOMIASIS (BILHARZIASIS),,
4911A,"Chronic bronchitis, Mucopurulent chronic bronchitis",58,257905,0.9,APPROVED,EQUIVALENT,Javier,1642756805650,257905,Mucopurulent chronic bronchitis,Condition,MAPS_TO,,<auto>,1642597813382,,2000403982,5-char ICD9fi,Condition,1970-01-01,2099-12-31,491,,unique_parent_match,BRONCHITIS CHRONICA MUCOPURULENTA,,
1200A,"Schistosomiasis [bilharziasis], Schistosoma haematobium",0,436350,0.62,APPROVED,EQUIVALENT,Javier,1642756805650,436350,Schistosoma haematobium infection,Condition,MAPS_TO,,<auto>,1642597813733,,2000400862,5-char ICD9fi,Condition,1970-01-01,2099-12-31,120,,unique_parent_match,SCHISTOSOMIASIS SCHISTOSOMA HAEMATOBIUM,,2025-06-30 | conceptName changed from Infection by Schistosoma to Schistosoma haematobium infection
1860A,"Malignant neoplasm of testis, Undescended testis[NEOPL MAL TESTIS (ABDOMIN/INGUIN),SEMINOMA]",0,436054,0.47,APPROVED,NARROWER,Javier,1642756738661,436054,Primary malignant neoplasm of undescended testis,Condition,MAPS_TO,,<auto>,1642597814155,,2000401606,5-char ICD9fi,Condition,1970-01-01,2099-12-31,186,,parent_match,"NEOPL MAL TESTIS (ABDOMIN/INGUIN),SEMINOMA",,2025-06-30 | conceptName changed from Malignant tumor of undescended testis to Primary malignant neoplasm of undescended testis
9444X,"Burn of wrist(s) and hand(s), Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part[COMBUST CARPI/MANUS GR III CUM NECR PROF,LAAJ?]",0,81757,0.34,APPROVED,NARROWER,Javier,1642756738661,81757,Deep third degree burn of upper limb,Condition,MAPS_TO,,<auto>,1642597814238,,2000408315,5-char ICD9fi,Condition,1970-01-01,2099-12-31,944,,parent_match,"COMBUST CARPI/MANUS GR III CUM NECR PROF,LAAJ?",,2025-06-30 | conceptName changed from Deep third degree burn of wrist to Deep third degree burn of upper limb
5600A,"Intestinal obstruction without mention of hernia, Intussusception[INVAGINATIO INTESTINI TENUIS]",13,197034,0.45,APPROVED,NARROWER,Javier,1642756738661,197034,Intussusception of intestine,Condition,MAPS_TO,,<auto>,1642597815352,,2000404427,5-char ICD9fi,Condition,1970-01-01,2099-12-31,560,,parent_match,INVAGINATIO INTESTINI TENUIS,,
3622A,"Other retinal disorders, Other proliferative retinopathy[FIBROPLASIA RETROLENTALIS/RETINOPATHIA PRAEMATURIT]",0,45757798,0.39,APPROVED,NARROWER,Javier,1642756738661,45757798,Proliferative retinopathy,Condition,MAPS_TO,,<auto>,1642597815769,,2000403235,5-char ICD9fi,Condition,1970-01-01,2099-12-31,362,,parent_match,FIBROPLASIA RETROLENTALIS/RETINOPATHIA PRAEMATURIT,,
945,Burn of lower limb(s),0,197751,0.67,APPROVED,EQUAL,Javier,1642756146926,197751,Burn of lower limb,Condition,MAPS_TO,,<auto>,1642597816140,,2000408316,3-char ICD9fi,Condition,1970-01-01,2099-12-31,940-949,,full_match,COMBUSTIO EXTREMITATIS INFERIORIS,,
1201A,"Schistosomiasis [bilharziasis], Schistosoma Mansoni",0,437797,0.65,APPROVED,EQUIVALENT,Javier,1642756805650,437797,Schistosoma mansoni infection,Condition,MAPS_TO,,<auto>,1642597816545,,2000400863,5-char ICD9fi,Condition,1970-01-01,2099-12-31,120,,unique_parent_match,SCHISTOSOMIASIS SCHISTOSOMA MANSONI,,2025-06-30 | conceptName changed from Infection by Schistosoma to Schistosoma mansoni infection
6810B,"Cellulitis and abscess of finger and toe, Finger[PARONYCHIA DIGITORUM MANUS]",11,79898,0.58,APPROVED,NARROWER,Javier,1642756738661,79898,Cellulitis and abscess of finger,Condition,MAPS_TO,,<auto>,1642597816588,,2000405383,5-char ICD9fi,Condition,1970-01-01,2099-12-31,681,,parent_match,PARONYCHIA DIGITORUM MANUS,,2025-06-30 | conceptName changed from Cellulitis and abscess of finger and toe to Cellulitis and abscess of finger
4912A,"Chronic bronchitis, Obstructive chronic bronchitis[BRONCHITIS CHRONICA OBSTRUCTIVA]",332,258780,0.69,APPROVED,NARROWER,Javier,1642756738661,258780,Emphysematous bronchitis,Condition,MAPS_TO,,<auto>,1642597816754,,2000403983,5-char ICD9fi,Condition,1970-01-01,2099-12-31,491,,parent_match,BRONCHITIS CHRONICA OBSTRUCTIVA,,
7301C,"Osteomyelitis, periostitis and other infections involving bone, Chronic osteomyelitis[OSTEOMYELITIS CHRONICA,KYYNÄRVARSI]",0,134735,0.35,APPROVED,NARROWER,Javier,1642756738661,134735,Chronic osteomyelitis,Condition,MAPS_TO,,<auto>,1642597816809,,2000406133,5-char ICD9fi,Condition,1970-01-01,2099-12-31,730,,parent_match,"OSTEOMYELITIS CHRONICA,KYYNÄRVARSI",,
1202A,"Schistosomiasis [bilharziasis], Schistosoma japonicum",0,437499,0.61,APPROVED,EQUIVALENT,Javier,1642756805650,437499,Schistosoma japonicum infection,Condition,MAPS_TO,,<auto>,1642597818455,,2000400864,5-char ICD9fi,Condition,1970-01-01,2099-12-31,120,,unique_parent_match,SCHISTOSOMIASIS SCHISTOSOMA JAPONICUM,,2025-06-30 | conceptName changed from Infection by Schistosoma to Schistosoma japonicum infection
4912B,"Chronic bronchitis, Obstructive chronic bronchitis[BRONCHITIS OBSTRUCTIVA CUM EMPHYSEMATE]",241,258780,0.61,APPROVED,NARROWER,Javier,1642756738661,258780,Emphysematous bronchitis,Condition,MAPS_TO,,<auto>,1642597819443,,2000403984,5-char ICD9fi,Condition,1970-01-01,2099-12-31,491,,parent_match,BRONCHITIS OBSTRUCTIVA CUM EMPHYSEMATE,,
1860B,"Malignant neoplasm of testis, Undescended testis[NEOP MAL TEST (ABD/ING),CA EMBR/TERATOCA/CHORIOCA]",0,436054,0.41,APPROVED,NARROWER,Javier,1642756738661,436054,Primary malignant neoplasm of undescended testis,Condition,MAPS_TO,,<auto>,1642597820054,,2000401607,5-char ICD9fi,Condition,1970-01-01,2099-12-31,186,,parent_match,"NEOP MAL TEST (ABD/ING),CA EMBR/TERATOCA/CHORIOCA",,2025-06-30 | conceptName changed from Malignant tumor of undescended testis to Primary malignant neoplasm of undescended testis
3622X,"Other retinal disorders, Other proliferative retinopathy[RETINOPATHIA PROLIFERATIVA ALIA]",0,45757798,0.5,APPROVED,NARROWER,Javier,1642756738661,45757798,Proliferative retinopathy,Condition,MAPS_TO,,<auto>,1642597820076,,2000403236,5-char ICD9fi,Condition,1970-01-01,2099-12-31,362,,parent_match,RETINOPATHIA PROLIFERATIVA ALIA,,
1203A,"Schistosomiasis [bilharziasis], Cutaneous",0,140947,0.65,APPROVED,EQUIVALENT,Javier,1642756805650,140947,Cutaneous schistosomiasis,Condition,MAPS_TO,,<auto>,1642597820371,,2000400865,5-char ICD9fi,Condition,1970-01-01,2099-12-31,120,,unique_parent_match,SCHISTOSOMIASIS CUTANEA,,2025-06-30 | conceptName changed from Infection by Schistosoma to Cutaneous schistosomiasis
9450A,"Burn of lower limb(s), Unspecified degree[COMBUSTIO EXTREMITATIS INFERIORIS NUD,<9%]",8,197751,0.34,APPROVED,NARROWER,Javier,1642756738661,197751,Burn of lower limb,Condition,MAPS_TO,,<auto>,1642597820396,,2000408317,5-char ICD9fi,Condition,1970-01-01,2099-12-31,945,,parent_match,"COMBUSTIO EXTREMITATIS INFERIORIS NUD,<9%",,2025-06-30 | conceptName changed from Partial thickness burn of lower limb to Burn of lower limb
