OMOP_CONCEPT_ID	TEST_NAME	MEASUREMENT_UNIT	value_source	n_records	n_subjects
3001604	l-mon	e9/l	Source	1709	614
3022217	p-tt-inr	inr	Source	921933	137607
3024561	p-alb	g/l	Source	870403	172286
-1	10299	mmol/l	Source	25386	6499
-1	11554		Source	25385	6498
-1	11564	mmol/l	Source	22683	5852
40771025	s-d-25	nmol/l	Source	380163	165586
3020460	p-crp	mg/l	Source	3911410	320497
3013826	p-gluk	mmol/l	Source	1187644	241245
3019977	ab-ph	ph	Source	116917	26751
3027801	ab-po2	kpa	Source	391556	48875
3023081	b-hb-co	%	Source	82147	17084
3027946	ab-pco2	kpa	Source	392179	48912
3007930	b-hb-met	%	Source	81067	16654
40762366	ab-o2-vol	%	Source	247005	24275
3003396	ab-be	mmol/l	Source	330584	38892
3008152	ab-ahco3	mmol/l	Source	102156	19561
3002173	ab-hb	g/l	Source	300765	29008
3016431	ab-ca-i7.4	mmol/l	Source	52168	8286
3023103	b-k	mmol/l	Source	59422	9339
3019550	b-na	mmol/l	Source	59360	9287
3047181	b-laktteh	mmol/l	Source	59507	9983
3021347	ab-ca-ion	mmol/l	Source	52238	8311
3016502	ab-hbo2sat	%	Source	123722	26720
3018572	b-cl	mmol/l	Source	51262	8022
3039000	b-angap	mmol/l	Source	51115	8019
3011960	p-bnp	ng/l	Source	88507	29683
3012544	vb-ph	ph	Source	90622	24108
3021447	vb-pco2	kpa	Source	187248	44581
3002032	vb-be	mmol/l	Source	127083	34680
3027273	vb-ahco3	mmol/l	Source	37230	10100
3004119	vb-hb	g/l	Source	61616	16978
3047181	b-lakteh	mmol/l	Source	345	103
-1	cb-hb-v		Source	312	233
3016771	p-amyl	u/l	Source	342833	127011
3013826	p-gluk-vt	mmol/l	Source	2048	1376
3020564	p-krea-vt	umol/l	Source	2804	1386
3019550	p-na-vt	mmol/l	Source	2849	1389
3023103	p-k-vt	mmol/l	Source	2199	1103
-1	ab-ph-vt		Source	95	72
-1	ab-pco2-vt	kpa	Source	92	69
-1	ab-po2-vt	kpa	Source	95	72
3041008	ab-ahco3vt	mmol/l	Source	90	70
-1	ab-be-vt	mmol/l	Source	45	33
3016502	ab-hbo2svt	%	Source	65	53
3021347	ab-caionvt	mmol/l	Source	84	63
3047181	b-laktevt	mmol/l	Source	408	268
3001122	s-ferrit	ug/l	Source	228321	97993
3019198	b-ly	e9/l	Source	784182	156318
3001604	b-monos	e9/l	Source	965696	183111
3022250	p-ld	u/l	Source	215599	48608
3046279	p-pct	ug/l	Source	23100	11880
3005785	p-ck-mbm		Extracted	7160	4673
3009542	b-hkr		Extracted	881305	146012
3000963	b-hb		Extracted	873871	140705
3023103	p-k		Extracted	700550	140447
3010813	fb-leuk		Extracted	78129	18208
3007461	b-tromb		Extracted	74950	16818
3019550	p-na		Extracted	615080	124560
3013650	b-neut		Extracted	676613	96381
3015736	u-ph		Extracted	340255	114583
3013603	p-psa	ug/l	Source	353553	81980
3010813	fb-leuk	e9/l	Source	326274	40616
3007461	b-tromb	e9/l	Source	323035	39514
3019198	b-ly		Extracted	335079	64045
3006315	b-baso		Extracted	357899	69422
3001604	b-monos		Extracted	373052	75479
3013115	b-eos		Extracted	381535	71867
3013707	b-la		Extracted	149889	63568
3020460	oma-p-crp		Extracted	1588	1074
3020460	p-crp		Extracted	327082	78044
3022948	p-fe		Extracted	489	366
3001122	p-ferrit		Extracted	65256	32331
3015399	s-tfr		Extracted	2004	1417
3020460	p-crp-o		Extracted	7286	4660
3026493	p-uraat		Extracted	37306	20440
3006923	p-alat		Extracted	483686	118839
3023602	fp-kol-hdl		Extracted	235267	87327
3013603	p-psa		Extracted	85243	31016
3048773	fp-trigly		Extracted	239139	89534
3005785	p-ck-mbm	ug/l	Source	69802	29673
3019800	p-tnt	ng/l	Source	400470	104218
3012095	p-mg	mmol/l	Source	247648	65739
3029187	p-probnp	ng/l	Source	317468	102335
3008486	p-t4-v	pmol/l	Source	904186	245214
3012110	s-lzm	mg/l	Source	24683	11634
3019309	fe-folaat	nmol/l	Source	76563	54439
3015399	s-tfr	mg/l	Source	75736	36806
3016431	p-ca-ion	mmol/l	Source	37104	15940
3021347	p-ca-iona	mmol/l	Source	404577	45532
3018418	p-ph		Source	5125	2765
3020460	p-crp-o	mg/l	Source	29537	16334
3020460	oma-p-crp		Source	7437	3991
3014576	p-cl	mmol/l	Source	441202	56017
3014007	ab-hbo2	%	Source	293958	28155
3020891	pt-lämpöt	°c	Source	66436	12754
3003396	ab-be		Extracted	52623	16915
3028653	ab-hb-co	%	Source	287728	27580
3006217	ab-hb-met	%	Source	290815	27801
3008152	ab-shco3	mmol/l	Source	51255	11088
3002173	ab-thb	g/l	Source	48634	10238
3043409	ap-k	mmol/l	Source	50240	10802
3019550	ap-na	mmol/l	Source	50237	10802
3018405	ap-laktaat	mmol/l	Source	49185	10418
3016431	p-ca-ion.	mmol/l	Source	356672	39413
3015171	s-enaab		Extracted	1793	1639
3013603	s-psa	ug/l	Source	88424	40096
3001784	s-psa-suh	%	Source	15340	7847
3006923	s-alat	u/l	Source	323438	128728
3026910	s-gt	u/l	Source	178336	95682
3019900	fs-kol	mmol/l	Source	255206	109871
3023602	fs-kol-hdl	mmol/l	Source	254480	109497
3001308	fs-kol-ldl	mmol/l	Source	255211	109843
3048773	fs-trigly	mmol/l	Source	258906	110568
3020564	fs-krea	umol/l	Source	277757	123620
3019550	s-na	mmol/l	Source	124118	68077
3017446	s-testo	nmol/l	Source	77553	35821
3023103	s-k	mmol/l	Source	138249	71399
3021589	b-erybla	e9/l	Source	1041959	95246
40764999	pt-gfre	ml/min/173m2	Source	1096391	193094
3019800	p-tnt		Extracted	32877	16105
3005013	s-psa-v	ug/l	Source	22261	10345
3001784	p-psa-suh	%	Source	93796	29667
3005013	p-psa-v	ug/l	Source	112760	40954
3004789	fp-transf		Extracted	12772	8857
3022948	fp-fe		Extracted	11292	7839
3015399	p-tfr		Extracted	35705	20536
3021589	b-erybla		Extracted	164791	30965
40763571	-trfesat		Extracted	5308	3770
3005013	p-psa-v		Extracted	38731	16260
3001784	p-psa-suh		Extracted	20581	9482
40764999	pt-gfreepi		Extracted	403097	92654
3029937	u-alb-o	estimate	Source	115398	41197
3035350	u-keto-o	estimate	Source	140263	44682
3041096	u-eryt-o	estimate	Source	103661	38544
3009261	u-gluk-o	estimate	Source	123942	41579
40763086	u-leuk-o	estimate	Source	102813	38693
3021601	u-nitr-o	estimate	Source	124875	42528
3019198	b-lymf	e9/l	Source	275627	50839
-1	rakkoaika	h	Source	60961	21412
3019198	b-lymf		Extracted	9829	5708
3002030	l-lymf		Extracted	13439	7559
3018010	l-neut		Extracted	16284	8009
3006504	l-eos		Extracted	18235	9108
3022096	l-baso		Extracted	16970	8691
3019069	l-monos		Extracted	31296	13884
3009508	u-krea		Extracted	98777	38090
3012516	u-alb		Extracted	51996	23141
3020682	u-albkre		Extracted	51379	22833
3034780	fs-ace	u/l	Source	33373	16511
3005322	s-ige	u/ml	Source	34187	26230
3018010	l-neut(a)	%	Source	590444	77833
3019069	l-mono(a)	%	Source	588958	77781
3018418	s-ph	ph	Source	234517	63892
3021347	s-ca-iona	mmol/l	Source	382346	90333
3016431	s-ca-ion	mmol/l	Source	460023	114233
3002030	l-lymf(a)	%	Source	588720	77720
-1	s-mypnabg	eiu	Source	7286	6172
3020564	fp-krea	umol/l	Source	763196	110113
3008364	fs-lipoa1	g/l	Source	4095	3075
3014791	fs-lipob	g/l	Source	5510	3661
3011831	s-apob/a1		Source	2605	2050
3002109	kol/hdlsuh		Source	66453	40185
3044491	non-hdl		Source	37674	27426
3015377	fp-ca	mmol/l	Source	53237	24984
3020059	p-ca-albk	mmol/l	Source	165475	61311
3002582	u-eryt	e6/l	Source	273727	97791
3018095	u-leuk	e6/l	Source	294204	107042
3029879	u-levyep	e6/l	Source	81770	35201
3030306	u-pien.ep	e6/l	Source	999	848
3030981	u-lieriöt	e6/l	Source	59778	26154
3018010	neutros	%	Source	18077	13209
3002030	lymfos	%	Source	18423	13251
3019069	monos	%	Source	27780	14669
3022096	basof	%	Source	18756	13271
3006504	eosin	%	Source	18337	13257
3030366	p-kysc	mg/l	Source	52852	11109
-1	e-punasolujenkokojakaum	%	Source	55540	36380
3004410	b-hemoglobiini-a1c	mmol/mol	Source	57562	41252
3007220	p-ck	u/l	Source	260925	120032
-1	s-apob/a1-suhde		Extracted	793	701
-1	kolesteroli/hdl-suhde		Extracted	33783	25505
-1	p-kalsium,alb.korjattu	mmol/l	Source	1368	1212
3044491	non-hdl		Extracted	28299	22042
-1	glom.suod.nopeusckd-epi	ml/min/173m2	Source	25363	19545
3008486	s-t4-v	pmol/l	Source	242498	113409
3010566	fp-pth	pmol/l	Source	30395	8775
43054903	s-b12-tc2	pmol/l	Source	176282	104576
3007164	s-iga	g/l	Source	35623	29646
3019050	s-ttgaba	u/ml	Source	32224	26887
3022621	u-ph-o		Extracted	11733	9394
0	u-ominaispaino		Extracted	5476	4572
3018677	p-aptt	s	Source	143489	65406
3020044	li-gluk	mmol/l	Source	13371	10199
3019473	li-prot	mg/l	Source	15635	11417
3006140	s-bil	umol/l	Source	15102	11519
3027475	li-eryt	e6/l	Source	11741	8021
3016543	li-leuk	e6/l	Source	10896	7617
3020630	s-prot	g/l	Source	87590	32839
3021589	b-erblast		Extracted	314168	55120
3022217	p-tt-inr		Extracted	468683	59224
3007080	s-ebvabg	u/ml	Source	7537	6263
3012544	vb-ph		Extracted	85050	22156
21492711	s-cmvavi		Extracted	469	426
3020287	p-pc	%	Source	7136	6450
3020629	p-ps-agv	%	Source	5677	5076
3010130	s-cmvabg	au/ml	Source	3502	2738
3026493	p-uraat	umol/l	Source	229024	82053
3033658	p-tt.	%	Source	5602	4956
3019250	p-fviii.	%	Source	28713	11057
3009041	p-kardabg	u/ml	Source	4429	3480
3018418	s-ph		Extracted	161744	46339
3000515	p-at3.	%	Source	4827	4357
3036489	p.-trombai	s	Source	5471	4867
3007628	vb-hco3-st	mmol/l	Source	104777	21632
3036603	virtsamäärä	ml	Source	4495	2728
3022948	fp-fe	umol/l	Source	141841	52665
3004789	fp-transf	g/l	Source	144990	53515
3001122	p-ferrit	ug/l	Source	414832	136411
40763571	fp-trfesat	%	Source	88543	32054
3000067	fp-pth	ng/l	Source	122007	29039
3003458	p-pi	mmol/l	Source	179614	26569
3019900	p-kol	mmol/l	Source	235312	117062
3001308	p-kol-ldl	mmol/l	Source	340811	137165
3023520	b-retik		Extracted	25698	12117
3027945	e-retik	%	Source	121560	45441
3025839	p-trigly	mmol/l	Source	219531	112741
3023602	p-kol-hdl	mmol/l	Source	221234	112948
42868674	hdl/kol	%	Source	130585	34214
3001784	psa-v/psa	%	Source	25349	8375
3004410	b-ghb-a1c	%	Source	48557	28519
-1	u-sg		Source	2538	1568
3020460	crp		Source	7009	3147
-1	hba1cpika		Source	616	370
-1	ihopisto	mmol/l	Source	4075	1972
40771025	p-d-25	nmol/l	Source	55698	35179
-1	13983	ug/l	Source	861	326
3002385	b-erytrosyytit,tilavuusosuus	ratio	Source	292478	66365
3010813	b-leukosyytit	e9/l	Source	370214	82454
40764999	pt-glomerulussuodusnopeus,estimoitu,ckd-epi-kaava	ml/min/173m2	Source	15424	4819
3020564	p-kreatiniini	umol/l	Source	116933	38268
3009508	u-kreatiniini	mmol/l	Source	25030	16744
40771025	p-d-vitamiini-25-oh	nmol/l	Source	1605	1484
40764999	pt-glomerulussuodosnopeus,estimoitu,ckd-epi-kaava	ml/min/173m2	Source	202854	42367
3051714	b-fidd-o	mg/l	Source	814	627
3023103	k-pika	mmol/l	Source	1408	726
3019550	na-pika	mmol/l	Source	1412	725
3006442	krea-pika	umol/l	Source	1294	623
3005772	p-bil-kj	umol/l	Source	124636	42889
3002385	e-punasolujenkokojakauma	%	Source	196955	51621
3021236	s-ast	iu/ml	Source	2042	1866
3052851	-h-ind		Source	19585	6365
-1	s-campabg	titre	Source	418	389
-1	s-campabm	titre	Source	543	510
-1	s-borrabm	responseequivalent/ml	Source	2780	2162
3012741	s-chpnabg	titre	Source	435	387
-1	s-campaba	titre	Source	480	455
-1	s-w-h:b	titre	Source	311	294
-1	s-w-h:i	titre	Source	215	200
-1	s-w-h:g.m	titre	Source	108	100
3030905	b-liuskat	e9/l	Source	28124	8521
3032035	l-liuskat	%	Source	31495	8829
3052851	-h-ind		Extracted	19634	7981
3018010	l-neutrofiilit,automaatio	%	Source	19269	7958
3019069	l-monosyytit,automaatio	%	Source	19268	7957
3002030	l-lymfosyytit,automaatio	%	Source	19274	7959
3003785	s-cea	ug/l	Source	87770	23242
3004410	b-hb-a1c	mmol/mol	Source	7611	3520
3027238	s-tpoab	iu/ml	Source	7169	6165
3026989	p-t3-v	pmol/l	Source	73828	19867
3015377	p-ca	mmol/l	Source	398612	101448
-1	p-fidd-opi		Source	41	37
3024354	vb-po2	kpa	Source	134116	37173
3036481	p-korsol	nmol/l	Source	51414	22605
3004529	vb-hbo2sat	%	Source	71454	21371
3014111	p-laktaat	mmol/l	Source	21546	7393
3010517	vb-hb-co	%	Source	63056	20050
3024889	vb-hb-met	%	Source	62766	19932
3027273	vb-shco3	mmol/l	Source	21019	6903
3004119	vb-thb	g/l	Source	31101	11284
3013115	b-eosinofiilit	e9/l	Source	51900	20234
3026361	b-erytrosyytit	e12/l	Source	324095	72924
3024731	e-erytrosyytit,keskitilavuus	fl	Source	101085	30519
3000963	b-hemoglobiini	g/l	Source	172668	50720
3003338	e-hemoglobiini,keskimassakonsentraatio	g/l	Source	111182	32527
3035941	e-hemoglobiini,keskimassa	pg	Source	57790	25349
3010813	fb-leukosyytit	e9/l	Source	53953	21331
3007461	b-trombosyytit	e9/l	Source	323143	74122
3006315	b-basofiilisetleukosyytit	e9/l	Source	25299	9991
3019198	b-lymfosyytit	e9/l	Source	51684	19174
3017732	b-neutrofiilit	e9/l	Source	74595	22802
3020460	c-reaktiivinenproteiini	mg/l	Source	7963	3524
3009201	p-tyreotropiini	mu/l	Source	31675	20568
-1	punasolujenkoonvaihtelu	%	Source	2026	1336
3021589	b-erytroblastit,absoluuttiset,automaattidiffi	e9/l	Source	6497	3824
3000475	sy-leukosyytit	e6/l	Source	174	153
-1	sy-neutrofiilitjaeosinofiilit	%	Source	295	243
-1	sy-mononukleaarisetsolut	%	Source	314	262
3009035	p-b12-vit	pmol/l	Source	37066	24924
3019225	ph	ph	Source	115644	28728
3016431	ca++/7.40	mmol/l	Source	98719	25291
3021347	ca-ion	mmol/l	Source	99169	25286
3007220	p-ck		Extracted	17891	12344
3019309	fe-folaat		Extracted	27146	19273
3005895	p-myogl	ug/l	Source	34478	14984
-1	14272	e9/l	Source	78909	9362
3017732	b-neutrofiilit,erillistutkimuksena	e9/l	Source	1653	590
3022217	p-tromboplastiiniaika,inr-tulostus	inr	Source	37226	6016
0	p-happamuusaste(ionis.ca)		Source	4746	3198
3016431	fs-ca-ion/ph7.40	mmol/l	Source	27029	10625
3021347	s-kalsium,ionisoitunut	mmol/l	Source	33412	14094
3021960	fs-folaat	nmol/l	Source	163828	103544
3015399	p-tfr	mg/l	Source	152596	68841
43054903	s-b12-tc2		Extracted	45915	28645
3021960	fs-folaat		Extracted	26432	18840
3048816	s-ca(7.4)	mmol/l	Source	115493	29396
3013742	p-prealb	g/l	Source	17703	9998
3018418	s-ph(akt)	ph	Source	97114	24286
3021589	b-erytroblastit	e9/l	Source	151903	27027
3045716	p-angap	mmol/l	Source	4593	2525
3023081	hemoglobiini,hiilimonoksidi,veri	%	Source	3801	2112
-1	methemoglobiini,veri	%	Source	4105	2227
-1	happamuusaste,laskimoveri		Source	2729	1562
-1	kalium(verikaasulaite),plasma	mmol/l	Source	3811	2117
3014576	kloridi,plasma	mmol/l	Source	4201	2262
3008037	laktaatti(verikaasulaite),laskimoveri	mmol/l	Source	3272	1902
3016431	kalsium,ionisoitunut(7.4),plasma	mmol/l	Source	4136	2271
-1	happisisältö,laskimoveri	%	Source	3559	1984
3019550	natrium(verikaasulaite),plasma	mmol/l	Source	3815	2117
-1	bikarbonaatti(aktuaali),laskimoveri	mmol/l	Source	3586	1993
-1	emäsylimäärä,laskimoveri		Extracted	1291	719
3020891	potilaanlämpötila	°c	Source	5156	2673
-1	hemoglobiini(totaali),laskimoveri	g/l	Source	3479	1960
-1	glukoosi(verikaasulaite),laskimoveri	mmol/l	Source	3275	1901
3022217	tromboplastiiniaika,inr-tulostus	inr	Source	9382	2334
40764999	glomerulussuodosnopeus,estimoitu,ckd-epi-kaava	ml/min/173m2	Source	58182	13908
3044242	glukoosi(verikaasulaite),valtimoveri	mmol/l	Source	545	312
-1	happamuusaste,valtimoveri		Source	724	406
-1	happisisältö,valtimoveri	%	Source	816	443
-1	laktaatti(verikaasulaite),valtimoveri	mmol/l	Source	531	298
3014218	bikarbonaatti(aktuaali),valtimoveri	mmol/l	Source	838	459
-1	emäsylimäärä,valtimoveri		Extracted	346	216
3002173	hemoglobiini(totaali),valtimoveri	g/l	Source	817	443
3035350	u-asetoniaineet(kval)	estimate	Source	16819	9305
3021601	u-nitriitti(kval)	estimate	Source	14979	8749
3001784	psa-v/psa-suhde	%	Source	2697	1883
-1	troponiinit	ng/l	Source	4956	2521
-1	emäsylimäärä,laskimoveri	mmol/l	Source	2439	1615
3045414	u-leukosyytit(kval)	estimate	Source	11845	7411
40763571	-trfesat	%	Source	49060	21979
3045424	u-erytrosyytit(kval)	estimate	Source	9326	5533
-1	solut,nivelneste	e6/l	Source	593	415
-1	neutrofiilit+eosinofiilit,nivelneste	%	Source	374	252
-1	mononukleaarisetsolut,nivelneste	%	Source	374	252
3026493	uraatti	umol/l	Source	3560	2311
3002582	u-erytrosyytit	e6/l	Source	29244	15574
3018095	u-leukosyytit	e6/l	Source	20736	11106
3026782	u-osmest	mosm/kgh2o	Source	89312	30567
3000850	u-epiteelit	e6/l	Source	2832	1785
3002385	e-rdv	%	Source	3952	1414
3023103	p-kalium	mmol/l	Source	106850	33554
3019550	p-natrium	mmol/l	Source	106413	33754
3020460	p-c-reaktiivinenproteiini	mg/l	Source	41015	8753
-1	happamuusaste,laskimoveri	ph	Source	819	605
3003181	u-na	mmol/l	Source	8849	6308
3026782	osmolaliteetti,virtsa	mosm/kgh2o	Source	310	256
3018418	happamuusaste,seerumi	ph	Source	4823	2236
3016431	kalsium,ionisoitunut(7.4),seerumi	mmol/l	Source	9434	3757
42868674	hdl/kol		Extracted	88989	23075
3016771	p-amyl		Extracted	25879	17791
3006140	p-bil		Extracted	45630	25347
3026910	p-gt		Extracted	101194	45532
3007164	p-iga		Extracted	9336	7996
40771025	p-d-25		Extracted	38077	21908
40764999	pt-glomerulussuodosnopeus,estimoitu,ckd-ep	ml/min/173m2	Source	1488	1036
3018171	p-hcg		Extracted	803	505
46235831	pappakmom		Source	11371	8820
3008714	hcgbvkmom		Source	11194	8703
-1	nt-		Source	2405	2000
40763531	ntkmom		Source	11270	8745
3021584	s-pappa	mu/l	Source	33726	22945
3019145	s-hcgbv	ug/l	Source	3397	2620
3034274	s-sappih	umol/l	Source	9064	3648
3019225	ph		Extracted	48698	19959
3016431	ca++/7.40		Extracted	27414	12206
3021347	ca-ion		Extracted	27189	12376
3015377	fs-ca++/7.40		Extracted	10495	6435
3021347	fs-ca-ion		Extracted	10573	6504
3030366	s-kysc		Extracted	763	443
3024561	p-alb		Extracted	50839	29121
3019900	fs-kol		Extracted	2776	2334
3023602	fs-kol-hdl		Extracted	3004	2495
3001308	fs-kol-ldl		Extracted	2722	2287
3048773	fs-trigly		Extracted	3031	2517
3009201	s-tsh		Extracted	25847	18886
3013115	b-eosin		Extracted	19436	7464
3002030	l-lymfos		Extracted	19446	7629
3006315	b-basof		Extracted	19444	7472
3019198	b-lymfos		Extracted	19817	7638
3017732	b-neutr		Extracted	19424	7498
-1	s-ca++/7.40		Extracted	5861	4518
3016431	s-ca-ion		Extracted	25116	16679
3006504	l-eosin		Extracted	19355	7555
3022096	l-basof		Extracted	19030	7408
3018010	l-neutr		Extracted	18925	7429
3004410	b-hb-a1c	%	Source	43586	26814
3007220	s-ck	u/l	Source	11558	8894
3009201	s-tsh	miu/l	Source	95397	51387
3035995	s-afos	u/l	Source	62974	42215
3016771	s-amyl	u/l	Source	10384	8915
3013721	s-asat	u/l	Source	22998	15342
3020460	s-crp	mg/l	Source	153116	76305
3021901	cb-hbo2sat	%	Source	27895	9221
43055554	cb-be	mmol/l	Source	63895	18911
3004490	cb-hco3-st	mmol/l	Source	64090	15291
3016293	p-hco3	mmol/l	Source	267727	30586
3009343	cb-ph	ph	Source	86842	24117
3028626	cb-po2	kpa	Source	47686	11801
3023024	cb-pco2	kpa	Source	107718	28184
3014111	fp-laktaat	mmol/l	Source	299118	32605
3026493	s-uraat	umol/l	Source	36476	23716
3041942	s-ccpab	eliau/ml	Source	5657	5282
3022217	tromboplastiiniaika,inr-tulostus,plasma	inr	Source	11740	2775
3002385	e-erytrosyytit,kokojakaumaindeksi	%	Source	75219	8724
40764999	pt-glomerulussuodosnopeus,estimoitu,ckd-epi-kaava(pt-gfre-3osatutkimus)	ml/min/173m2	Source	61771	8121
3021614	s-rf	iu/ml	Source	11352	10236
3041942	s-ccpab	u/ml	Source	30305	24723
3002385	b-erytrosyytit,tilavuusosuus	%	Source	85071	17321
3035941	e-hemoglobiini(massa)	pg	Source	79890	14987
40764999	pt-glomerulussuodosnopeus,estimoitu	ml/min/173m2	Source	94712	25079
3006923	p-alaniiniaminotransferaasi	u/l	Source	56147	21984
-1	p-natriureettinenpeptidi,b-tyypinn-terminaalin	ng/l	Source	4678	2312
3008486	p-tyroksiini,vapaa	pmol/l	Source	27695	17673
-1	s-mypnabm	s/co	Source	1089	952
-1	lymfosyytit,3-osa	%	Source	2068	1750
-1	neutrofiilit,3-osa	%	Source	2068	1750
-1	muut,3-osa	%	Source	2070	1752
-1	b-neutrofiilit,3-osa	e9/l	Source	2068	1750
-1	b-lymfosyytit,3-osa	e9/l	Source	2067	1750
-1	p-troponiinii	ng/l	Source	7299	3444
3002385	punasolujenkokojakauma	%	Source	155703	44841
3022096	l-baso(a)	%	Source	93247	26502
3006504	l-eos(a)	%	Source	92061	26273
3021589	b-erblast	e9/l	Source	313458	60226
3018251	fs-gluk	mmol/l	Source	17569	10869
3003031	s-cdt	%	Source	89543	52808
3030467	u-lier	e6/l	Source	195505	72382
3030306	u-pienep	e6/l	Source	65516	29794
3021614	p-rf	iu/ml	Source	10583	8952
3022217	p-inr	inr	Source	781171	40316
3022217	b-inr-pik		Source	4385	1437
-1	p-la1	s	Source	1058	917
3005033	-nt	mm	Source	11772	8637
3019145	s-hcgbv/d	ug/l	Source	14513	9986
3022621	u-ph.		Source	21310	9463
3000330	u-suhti.		Source	21005	9374
3005033	-nt		Extracted	5019	3907
40763531	ntkmom		Extracted	9398	7629
3021584	s-pappa		Extracted	8217	6597
46235831	pappakmom		Extracted	9293	7577
3019145	s-hcgbv/d		Extracted	4989	3931
3008714	hcgbvkmom		Extracted	9388	7626
3032836	fs-c-pept	nmol/l	Source	14049	5843
3021347	fs-ca-ion	mmol/l	Source	11278	4182
3016431	fs-ca++7.4	mmol/l	Source	8087	2339
3018418	fs-ph	ph	Source	13987	4169
3048402	u-eryt	u/field	Source	2563	1545
3051014	u-epit	u/field	Source	324	235
-1	u-lieriöt	u/field	Source	278	201
3051014	u-leuk	u/field	Source	1777	996
3010370	fs-gastr	pmol/l	Source	1125	621
3033888	fs-pepsin1	ug/l	Source	550	534
40758355	fs-pp	pmol/l	Source	1162	472
3021387	s-prl	mu/l	Source	28193	16830
-1	fp-pthint	pmol/l	Source	1198	304
3051387	cp-crp-hy	mg/l	Source	10332	3703
3040151	cp-gluk-hy		Extracted	9522	593
-1	u-suht-hy		Extracted	453	379
3022621	u-ph-hy		Extracted	645	519
