OMOP_CONCEPT_ID	TEST_NAME	MEASUREMENT_UNIT	TEST_OUTCOME	n_TEST_OUTCOME	n_subjects
3020460	-crp-pika	mg/l	A	186	125
3020460	-crp-pika		A	11	10
3020460	-crppika	mg/l	A	167	70
3020460	-crppika		A	31	21
0	-ctgcnho		N	19325	10327
0	-ctgcnho		A	111	101
-1	-ctgcnho,-chtrnho		N	21	17
-1	-ctgcnho,1738osatutkimus		N	13	11
-1	-ctjtnho		N	115	81
0	-ctngnho		N	129	56
36032419	-cv19ag		A	432	413
36032419	-cv19ag		N	102	96
-1	-cv19ag0		N	3366	2893
-1	-cv19ag0		A	462	455
36032419	-cv19ag4		N	73	38
36032419	-cv19ag4		A	23	23
36033641	-cv19ag5		N	754	696
36033641	-cv19ag5		A	241	231
706163	-cv19nho		N	102457	52593
706163	-cv19nho		A	38443	35301
706163	-cv19nho		AA	9	9
-1	-cv19nho-covid-19koronavirustauti,nukleiinihappo(kval)		N	386	341
586526	-cv19pika		A	816	779
-1	-cv19vt		A	70	69
-1	-cyp2b6		N	1450	1403
-1	-cyp2c19		N	1450	1403
-1	-cyp2c9		N	1450	1403
-1	-cyp2d6		N	1450	1403
-1	-cyp3a5		N	1450	1403
-1	-cyp4f2		N	1450	1403
-1	-d-dimqpik		A	10	7
-1	-dermatofyytitryhmä,nukleiinihappo(kval)		N	27	27
-1	-dermatofyytitryhmä,nukleiinihappo(kval)		A	18	17
-1	-dermatofyytti(silsasieni),nukleiinihappo		N	19	17
-1	-dermnho		N	335	322
-1	-dermnho		A	246	225
-1	-desialotransferriini	mg/l	N	36	34
-1	-diagn.		N	709	589
-1	-diagn..		N	99	79
-1	-dialyysinjälkeen,p-urea	mmol/l	N	51	44
-1	-diffi		N	360	312
-1	-dnaex		N	316	290
-1	-dpyd		N	1450	1403
1001833	-ebvnh		N	67	59
1001833	-ebvnh		A	29	18
1001833	-ebvnh	u/ml	N	6	6
-1	-eflonho		N	78	72
-1	-emcilia		N	6	6
-1	-ennendialyysiä,p-urea	mmol/l	N	60	49
3013115	-eos	%	A	309	102
-1	-epflnho		N	7	6
-1	-epidermophytonfloccosum,nukleiinihappo		N	20	18
-1	-epidermophytonfloccosum,nukleiinihappo(kval)		N	46	45
-1	-epidermophytonfloccosumnho		N	35	32
-1	-epit		N	6	6
-1	-eryt		N	366	318
-1	-esblvi		N	706	372
-1	-esblvi		A	57	37
3016881	-evirnho		N	823	512
3016881	-evirnho		A	28	17
-1	-extem/a10	mm	A	54	46
-1	-extem/a15	mm	A	48	41
-1	-extem/a5	mm	A	49	44
-1	-extem/cft	s	A	32	26
-1	-extem/cft	s	N	9	8
-1	-extem/ct	s	A	20	18
-1	-extem/ct	s	N	10	8
-1	-extem/mcf	mm	N	9	7
-1	-extem/mcf	mm	A	34	30
-1	-extem/ml	%	A	12	7
-1	-fibrillarin(ib)		N	30	30
-1	-fibtem/mcf	mm	N	8	6
-1	-fidd-vt		A	23	20
-1	-fish-s		N	35	31
-1	-fossadouglas-näytteensolututkimus		N	13	13
-1	-foundationone,kudoksesta		N	12	12
3036048	-frtuab		N	234	214
3036048	-frtuab	titre	A	58	42
3036048	-frtuab		A	10	9
-1	-fuusiogeenitutkimuskiinteillekasvaimille,pcr-menetelmällä		N	10	10
-1	-gamma-globuliini,elektroforeesifraktio,osatutk2522	g/l	A	7	7
-1	-gamma-globuliini,elektroforeesifraktio,osatutk2522	g/l	N	7	7
-1	-gammaglobuliini,seerumi,elektroforeesifraktio	g/l	A	422	99
-1	-gammaglobuliini,seerumi,elektroforeesifraktio	g/l	L	44	20
-1	-gammaglobuliini,seerumi,elektroforeesifraktio	g/l	N	28	24
-1	-gammaglobuliini,seerumi,elektroforeesifraktio	g/l	H	20	19
-1	-gardnerellavaginalis,nukleiinihappo		N	140	128
-1	-gardnerellavaginalis,nukleiinihappo		A	130	120
3011371	-gcnho		N	21336	11144
3011371	-gcnho		A	515	285
3028334	-gcvi		A	147	119
3028334	-gcvi		AA	94	71
3028334	-gcvi		N	268	209
-1	-genuusl		N	38	36
-1	-ghba1c-vt		A	14	13
-1	-gluk	mmol/l	N	9	9
-1	-gluk-1h	mmol/l	A	6	6
-1	-glutamyylitransferaasi-desialotransferriini-indeksi		N	457	396
-1	-glutamyylitransferaasi-desialotransferriini-indeksi		A	269	186
3052851	-h-ind		N	8514	2372
-1	-hbpika		A	10	9
3032567	-hbvnh		N	37	37
-1	-hcgbsuh		N	841	217
-1	-hcgbsuh	%	N	105	40
-1	-hcvnho		N	60	60
-1	-hcvnho		A	46	37
-1	-hdl/kol	%	N	915	856
-1	-hdl/kol.	%	N	1235	1120
-1	-hdl/kol.		N	6	6
-1	-hematologisenpotilaandiagnoosivaiheenfish-tutkimus		N	28	28
-1	-hematologisenpotilaanfish-jäännöstautianalyysi		N	8	6
-1	-hemoglobiinipika		A	26	20
-1	-hepynho		N	1262	1204
-1	-hepynho		A	114	98
-1	-hermosäietutkimus		N	18	18
-1	-herpessimplex-virus,nukleiinihaponosoitus		A	8	8
-1	-herpessimplex-virus1,nukleiinihappo		N	15	15
-1	-herpessimplex2,nukleiinihappo		N	15	15
-1	-herpessimplexvirus,nukleiinihaponosoitus		A	10	10
-1	-herpessimplexvirus,nukleiinihappo(kval)		A	14	14
-1	-hhpvgt		N	423	399
3025130	-hhpvnho		A	3445	1931
3025130	-hhpvnho		N	3630	2891
-1	-hhpvty		N	423	399
3035401	-hhv6nh		A	6	6
3035401	-hhv6nh		N	24	20
-1	-hhv8nho		N	10	9
-1	-hhvnh2		N	13	12
-1	-hiiva,viljely		N	43	39
-1	-hinfnho		N	11	11
40764127	-hinnho		N	14	14
-1	-histologinensolublokkisytologisestanäytteestä		N	64	57
-1	-hivabct		N	7	6
-1	-hivagab		N	6	6
-1	-hmpvag		N	40	32
-1	-hmpvnh		N	13	12
3042194	-hmpvnho		A	76	71
3042194	-hmpvnho		N	966	600
3029511	-hpvnho		N	482	470
3029511	-hpvnho		A	1270	706
-1	-hpvnhty		A	41	38
-1	-hpvnhty		N	20	20
-1	-hpvseul		A	275	250
-1	-hr16nho		N	9	9
-1	-hr16nho		A	7	7
-1	-hr18nho		N	9	9
-1	-hrnho		N	9	9
-1	-hrnho		A	11	11
-1	-hsv1nho		N	13	13
-1	-hsv1nho		A	9	9
-1	-hsv2nho		N	12	12
3001964	-hsvag		N	27	26
3001964	-hsvag		A	48	48
3028369	-hsvnho		N	1171	1026
3028369	-hsvnho		A	798	766
3010254	-hsvpvi		A	155	147
3010254	-hsvpvi		N	19	18
-1	-hsvvi		A	126	126
-1	-hsvvi		N	131	130
-1	-humaanimetapneumovirus,nukleiinihappo(kval)		N	7	7
-1	-humanpapillomavirusgenotyyppi16		N	15	15
-1	-humanpapillomavirusgenotyyppi16		A	17	14
-1	-humanpapillomavirusgenotyyppi18		N	16	16
-1	-humanpapillomavirusgenotyyppimuupatogeeninenhpv		N	16	16
-1	-humanpapillomavirusgenotyyppimuupatogeeninenhpv		A	44	34
3051651	-i-ind		N	58	58
-1	-icsi		N	48	44
-1	-imm-ong		N	78	72
-1	-immunoglobuliini,alaluokkag1	g/l	A	26	18
-1	-inabnho		N	102	99
-1	-inabnho		A	144	142
-1	-inabrsnho		A	7	7
0	-inabrsv		A	388	369
0	-inabrsv		N	1266	1070
-1	-inanhoho		A	70	70
-1	-inbnho		A	7	7
-1	-inbnhoho		A	30	30
3002523	-infaag		N	58	50
3002523	-infaag		A	44	44
3024891	-infabag		N	197	194
3024891	-infabag		A	13	13
-1	-infabnh		A	49	49
-1	-infabnh		N	62	60
-1	-infabrsv		N	31	30
-1	-infah03		N	6	6
-1	-infah09		N	7	7
-1	-infah1		N	9	9
3044938	-infanho		N	28864	17124
3044938	-infanho		A	4067	3901
-1	-infavt		A	87	86
3003740	-infbag		N	64	55
3003740	-infbag		A	6	6
3038288	-infbnho		N	27448	15967
3038288	-infbnho		A	543	533
-1	-influenssaa,b,rsvjacovid-19nukleiinihappo(kval)		A	690	631
-1	-influenssaa,b,rsvjacovid-19nukleiinihappo(kval)		N	33	29
-1	-influenssaa,b,rsvjacovid-19nukleiinihappo(kval),osatutk		N	8	8
-1	-influenssaa-rna-osoitus		A	37	37
-1	-influenssaa-virus(a/h-2009),variantti,nho(kval)		A	9	9
-1	-influenssaa-virus(a/h-2009),variantti,nho(kval)		N	15	15
-1	-influenssaa-virus(a/h3),variantti,nho(kval)		N	15	15
-1	-influenssaa-virus,nukleiinihappo(kval)		A	51	51
-1	-influenssaa-virus,nukleiinihappo(kval)		N	36	34
-1	-influenssaa-virus,nukleiinihappo(kval),osatutkimus8577		N	11	9
-1	-influenssaa-virus,nukleiinihappo(kval),osatutkimus8577		A	8	8
-1	-influenssaa-virus,nukleiinihappo(kval)sis.h7n9)		A	6	6
-1	-influenssaa/b,rsvjacovid-19-koronavirus,poc-nukleiinihaponosoitus(kval)		N	12	11
-1	-influenssaah1nho(kval)		N	16	16
-1	-influenssaavirus,antigeeni		N	20	20
-1	-influenssaavirus,nukleiinihaponosoitus		A	24	24
-1	-influenssaavirus,nukleiinihappo(kval)		A	132	127
-1	-influenssab,nukleiinihappo(kval)		N	8	8
-1	-influenssab,osoitus,osatutk.8577		N	11	9
-1	-influenssab,osoitus,osatutk.8818		N	22	20
-1	-influenssab-virus,nukleiinihappo(kval)		N	2105	1531
-1	-influenssab-virus,nukleiinihappo(kval)		A	11	11
-1	-influenssabvirus,antigeeni		N	18	18
-1	-influenssavirus,nukleiinihaponosoitus		N	23	23
-1	-influenssavirus,nukleiinihaponosoitus.		N	15	12
-1	-infnho.		A	6	6
-1	-infrpak		N	944	840
-1	-infrsvnho		A	47	47
-1	-infrsvnho		N	7	7
40757373	-infvnho		N	8	7
-1	-inrscov		N	46	43
-1	-inrscov		A	6	6
-1	-intem/a10	mm	A	8	8
-1	-intem/a15	mm	A	8	8
-1	-intem/a5	mm	A	8	8
-1	-irtosolututkimus		A	12	12
-1	-ivf-bl		N	40	40
-1	-ivf-et		N	136	125
-1	-jc-virusnukleiinihappo(kvant)		N	58	31
-1	-jo-1		A	17	13
-1	-kalium,vieritutkimus	mmol/l	A	6	6
3016431	-kalsium,ionisoitunut,korjattuph7,40	mmol/l	N	38	36
3021347	-kalsium,ionisoitunutaktuaalisessaph:ssa	mmol/l	N	40	37
-1	-kat-vi		A	45	42
-1	-kiire		N	8	8
-1	-kol/adp	s	A	12	9
-1	-kol/adr	s	A	10	8
-1	-kor229e		A	7	7
-1	-kor229e		N	10	10
-1	-korhku1		N	9	9
-1	-korinho		A	11	11
-1	-kornl63		N	12	12
-1	-kornl63		A	12	12
-1	-koroag		N	52	43
-1	-koroc43		A	13	13
-1	-koroc43		N	10	10
-1	-koronaviruksen(covid-19)nukleiinihappo-osoitus		N	6	6
-1	-koronavirus,nukleiinihappo(kval)		A	9	9
-1	-koronavirus229e,nho		N	14	14
-1	-koronavirus229e,nukleiinihaponosoitus		N	205	123
-1	-koronavirushku1,nho		N	16	16
-1	-koronavirusnl63,nho		N	13	13
-1	-koronavirusnl63,nho		A	6	6
-1	-koronavirusnl63,nukleiinihaponosoitus		N	208	125
-1	-koronavirusoc43,nho		A	17	13
-1	-koronavirusoc43,nho		N	14	14
-1	-koronavirusoc43,nukleiinihaponosoitus		N	203	124
-1	-koronavirusoc43,nukleiinihaponosoitus		A	11	10
-1	-koronavirusoc43,nukleiinihappo		A	14	14
3042596	-koronho		A	40	39
3042596	-koronho		N	941	580
-1	-kras-geeninmutaationmääritys		N	13	13
-1	-krea	umol/l	N	270	217
-1	-krea		N	7	6
-1	-kreatiniini,vieritutkimus	umol/l	A	37	28
-1	-kt/v,daugirdaksenkaava		N	48	44
-1	-ku72/86		A	12	8
-1	-kudosnäytteenhistologinentutkimus,makropreparaatti		N	106	105
-1	-kylskåp		N	8	6
3051611	-l-ind		N	4729	1830
-1	-lak/sak		A	16	15
-1	-ld	u/l	N	17	15
-1	-leginho		N	121	106
-1	-legionellapneumophila,legionellaspp.os.		N	9	9
3037692	-legivi		N	16	14
3020565	-lepnnho		N	152	147
-1	-leuk		N	370	322
-1	-liik.ab	%	N	30	29
-1	-liik.abc	%	N	29	28
-1	-liik.abc	%	L	6	6
3014043	-liik.im	%	N	2232	722
3014043	-liik.np	%	N	2231	721
40761995	-liik.pr	%	N	1793	669
40761995	-liik.pr	%	L	605	338
-1	-liik.pr		N	44	41
40761995	-liik.pr	%	A	358	204
-1	-linssi	u/ml	N	8	7
3020356	-listvi		N	85	69
3020356	-listvi		A	7	7
-1	-lisäma1		N	245	239
-1	-lisäma2		N	27	27
-1	-lisämaksukiireellisenäpyydetyllenäytteelle		N	177	166
-1	-lisätutkimuspyyntöaiemmintutkitullenäytteelle		N	64	54
-1	-lisävastaus2laskutuskuitatullenäytteelle		N	135	129
-1	-lisävastaus3laskutuskuitatullenäytteelle		N	26	26
-1	-lisävastaus4laskutuskuitatullenäytteelle		N	11	11
3019284	-lisävastauslaskutuskuitatullenäytteelle		N	880	782
-1	-llajitt		N	144	137
-1	-lmark		N	10	10
3002030	-lymph	%	A	251	101
-1	-m-komponentti-1,seerumi,elektroforeesifraktio(g/l)	g/l	A	205	51
-1	-m-komponentti-1,seerumi,elektroforeesifraktio(g/l)	g/l	H	28	23
-1	-matolm		N	25	21
-1	-matolm		A	7	7
-1	-maudnho		N	78	72
-1	-mcannho		N	78	72
-1	-mdrsvi		A	75	46
-1	-mdrsvi		N	839	464
-1	-merscov		N	11	10
-1	-metapneumovirus,nukleiinihaponosoitus		N	201	120
-1	-metapneumovirus,nukleiinihaponosoitus		A	18	17
-1	-metapneumovirus,nukleiinihappo(kval)		A	14	14
-1	-metapneumovirus,nukleiinihappo(kval)		N	10	10
-1	-metisilliiniresistenttistaph.aureus,viljelynenästä		N	135	69
-1	-metisilliiniresistenttistaph.aureus,viljelynielusta		N	134	69
-1	-metisilliiniresistenttistaph.aureus,viljelyperineumista		N	134	68
-1	-mi-2b		A	12	11
-1	-micanho		N	6	6
-1	-microsporumaudouinii,nukleiinihappo		N	20	18
-1	-microsporumaudouiniinho		N	35	32
-1	-microsporumcanis,nukleiinihappo(kval)		N	46	45
-1	-microsporumcanis/ferrugineum,nukleiinihappo		N	20	18
-1	-microsporumcanis/ferrugineumnho		N	23	23
-1	-moniresistentitgramnegatiivisetsauvat,jatkoviljely		A	12	8
3001604	-mono	%	A	495	169
-1	-morbnho		N	13	13
-1	-mrsajvi		N	29	27
-1	-mrsanho		N	9	7
3019902	-mrsavi		N	7651	3276
3019902	-mrsavi		A	184	103
-1	-mrsavine		N	102	61
-1	-mrsavini		N	103	61
-1	-mycobacteriumtuberculosis,viljely		A	20	14
-1	-mycohe		N	171	128
-1	-mycoplasmagenitalium,nukleiinihappo(kval),refleksinäherkkyysmääritys		N	88	81
-1	-mycoplasmapneumoniae,nukleiinihappo(kval)		N	9	9
-1	-mycoplasmapneumoniae,nukleiinihappo(kval)		A	9	9
36659890	-mycoty		N	52	47
-1	-mygehe		N	103	96
-1	-mygenho		N	343	320
-1	-mygenho		A	49	39
-1	-myhecp		N	100	87
-1	-myhonho		A	11	8
-1	-myhonho		N	12	7
-1	-mypnhe		N	101	88
3002482	-mypnnho		N	808	621
3002482	-mypnnho		A	138	134
-1	-myrkyt		N	94	80
-1	-nannizziagypseanho		N	9	8
-1	-natrium,vieritutkimus	mmol/l	A	20	17
-1	-ncovnhj		N	148	146
586526	-ncovnho		N	245	192
586526	-ncovnho		A	212	197
-1	-neisseriagonorrhoeae,nukl.os.(kval)		N	24	20
-1	-neisseriagonorrhoeae,nukleiinihappo(kval)		N	41	34
-1	-neisseriagonorrhoeae,nukleiinihappokotona(kval)		N	4815	2703
-1	-neursyf		N	42	37
3017732	-neut	%	A	130	64
-1	-ngs-geenitutkimus,laskutuskulloisenkinpaneelinmukainen		N	25	25
-1	-niskaturvotus	mm	N	9	9
-1	-nivenho		A	20	19
-1	-nivenho		N	16	15
-1	-nocavi		N	158	125
-1	-nocavi		A	9	9
-1	-nor90(ib)		N	30	30
3005033	-nt	mm	N	3360	3024
3005033	-nt		N	888	837
-1	-nudt15		N	1450	1403
-1	-palovvi		N	197	53
-1	-palovvi		A	83	27
-1	-pan-dermatofyyttinho		N	9	8
-1	-papilloomavirus(hpv),nukleiinihappo(kval),suu		A	116	83
-1	-papilloomavirus(hpv),suurenriskin,dna-osoitus		N	225	223
-1	-papilloomavirus(hpv),suurenriskin,dna-osoitus		A	465	307
-1	-papilloomavirus,muukorkeanriskintyyppi		A	11	11
-1	-papilloomavirus,nukleiinihappo(kval)		A	31	23
-1	-para-o		N	7	6
-1	-parainfluenssa1-virus,nukleiinihappo(kval)		N	9	9
-1	-parainfluenssa1virus,nukleiinihaponosoittaminen(kval)		N	208	125
-1	-parainfluenssa2-virus,nukleiinihappo(kval)		N	9	9
-1	-parainfluenssa2virus,nukleiinihaponosoittaminen(kval)		N	208	125
-1	-parainfluenssa3-virus,nukleiinihappo(kval)		N	9	9
-1	-parainfluenssa3virus,nukleiinihaponosoittaminen(kval)		A	15	15
-1	-parainfluenssa3virus,nukleiinihaponosoittaminen(kval)		N	204	122
-1	-parainfluenssa3virus,nukleiinihappo(kval)		A	7	6
-1	-parainfluenssa4-virus,nukleiinihappo(kval)		N	9	9
-1	-parainfluenssa4virus,nukleiinihaponosoitus		N	208	125
-1	-parinfluenssa3-virus,nukleiinihappo		A	13	13
-1	-pat		N	11	11
-1	-pdgfr(ib)		N	30	30
-1	-pekaanipähkinä	u/ml	N	7	7
-1	-pes.jäl		N	824	442
-1	-pes.til	ml	N	796	431
-1	-ph		N	875	697
-1	-ph		L	12	12
-1	-ph		A	17	14
-1	-piconh0		N	6	6
-1	-piconho		A	7	7
-1	-piconho		N	23	22
-1	-pikacrp	mg/l	A	47	38
40763324	-pin1nho		N	959	591
40763324	-pin1nho		A	11	11
3012158	-pin2nho		N	953	586
3012158	-pin2nho		A	12	11
3005880	-pin3ag		A	6	6
3006262	-pin3nho		N	943	580
3006262	-pin3nho		A	98	89
40763470	-pin4nho		N	954	587
40763470	-pin4nho		A	13	13
-1	-pinf1ag		N	53	44
-1	-pinf2ag		N	53	44
-1	-pinf3ag		N	53	44
40764126	-pinfnho		N	17	16
-1	-pistaasi(manteli)	u/ml	N	9	9
-1	-pl-7		A	19	11
3009595	-pncanho		N	728	428
3009595	-pncanho		A	356	294
-1	-pneumocystisjirovecii,nukleiinihaponosoitus		A	13	10
36031861	-pocabrc		N	23514	13844
-1	-pocabrc,-cv19nho		N	193	154
-1	-pocabrc,-infanho		N	54	49
586526	-poccv19		N	6454	4714
586526	-poccv19		A	202	201
-1	-polyomavirus(jcv,bkv),nukleiinihaponos.(pcr)kvant.		A	28	9
-1	-polyomavirus,nukleiinihappo(kvant)		N	58	31
-1	-potilaantunnistus		N	24	24
-1	-povnh		A	72	15
-1	-poxnho		N	9	9
-1	-poxpak		N	12	12
-1	-pr+np	%	N	520	465
-1	-pr+np	%	L	239	184
-1	-pr+np	%	A	189	135
-1	-pregnlo	nmol/l	N	24	22
-1	-pregnlo	nmol/l	A	8	6
3029187	-probnppoc	ng/l	A	14	11
-1	-prot	g/l	N	24	23
3001784	-psa-v/t	%	A	48	28
-1	-punktionesteenimmunofenotyypitys		N	9	7
-1	-pvlnho		N	29	24
-1	-pyör.s.		N	766	624
-1	-päivystyslisäkolmestatutkimuksesta		N	18	17
-1	-rbaknho		N	14	14
-1	-resistentitgramnegatiivisetsauvat,viljely		N	24	18
-1	-respiratorisetvirukset,nukleiinihaponosoittaminen(kval)		N	208	125
-1	-respiratoristenmikrobientutkimus		A	156	130
-1	-respiratorysyncytial-virus,nukl.happo		N	6	6
