OMOP_CONCEPT_ID	TEST_NAME	MEASUREMENT_UNIT	MEASUREMENT_UNIT_HARMONIZED	omopQuantity	CONVERSION_FACTOR	n_records	n_subjects
40763571	-trfesat			Ratio		6005	4248
3005013	p-psa-v			Mass Concentration		60503	25207
40764999	pt-gfreepi			Volume Rate/Area		631520	144852
3029937	u-alb-o	estimate	estimate	Presence or Threshold	1	120171	41999
3035350	u-keto-o	estimate	estimate	Presence or Threshold	1	141611	44969
3041096	u-eryt-o	estimate		Presence or Threshold		109681	39723
3009261	u-gluk-o	estimate	estimate	Presence or Threshold	1	126201	42068
40763086	u-leuk-o	estimate		Presence or Threshold		107734	39519
3021601	u-nitr-o	estimate	estimate	Presence or Threshold	1	126723	42716
40761536	u-tutkesi			-		144188	36783
3019198	b-lymf	e9/l	e9/l	Number Concentration	1	275921	50847
3025159	l-blastit			Number Fraction		147227	32788
3021440	l-promyel			Number Fraction		137422	31897
3017181	l-myelos			Number Fraction		137001	31808
3002179	l-metamye			Number Fraction		123691	30383
0	ottotapa					73250	24975
-1	rakkoaika	h				61285	21507
3019198	b-lymf			Number Concentration		13236	7479
3002030	l-lymf			Number Fraction		19911	10659
3018010	l-neut			Number Fraction		30344	12001
3006504	l-eos			Number Fraction		30184	14253
3022096	l-baso			Number Fraction		27555	13443
3019069	l-monos			Number Fraction		38088	17263
1761868	p-lipidit			-		61240	29310
3012516	u-alb			Mass Concentration		210754	86089
3009508	u-krea			Substance Concentration		107413	41369
3020682	u-albkre			Ratio		251428	85321
4200892	pt-fvspido			-		50607	34233
3034780	fs-ace	u/l	u/l	Catalytic Concentration	1	33389	16522
40758558	b-pvk+tkd			-		347108	61920
3005322	s-ige	u/ml	u/ml	Arbitrary Concentration	1	34192	26233
3018010	l-neut(a)	%	%	Number Fraction	1	590444	77833
3019069	l-mono(a)	%	%	Number Fraction	1	588958	77781
3021589	b-erblast			Number Concentration		408746	65309
3018418	s-ph	ph	ph	Log molar concentration	1	234517	63892
3021347	s-ca-iona	mmol/l	mmol/l	Substance Concentration	1	382346	90333
3016431	s-ca-ion	mmol/l	mmol/l	Substance Concentration	1	482099	119992
3002030	l-lymf(a)	%	%	Number Fraction	1	588720	77720
-1	s-mypnabg	eiu				7286	6172
3010521	s-mypnabm			Presence or Threshold		14920	12763
3027545	s-mypnab			Presence or Threshold		19648	14884
3019800	s-tnt			Mass Concentration		7435	6152
3020564	fp-krea	umol/l	umol/l	Substance Concentration	1	763196	110113
3008364	fs-lipoa1	g/l	g/l	Mass Concentration	1	4095	3075
3014791	fs-lipob	g/l	g/l	Mass Concentration	1	5510	3661
1761868	fp-lipidit			-		336528	120096
3011831	s-apob/a1			Percentile		2607	2052
-1	tark1					1834	1539
3002109	kol/hdlsuh			Mass Ratio		66963	40373
3044491	non-hdl			Mass Concentration		66002	40791
3015377	fp-ca	mmol/l	mmol/l	Substance Concentration	1	53237	24984
3020059	p-ca-albk	mmol/l	mmol/l	Substance Concentration	1	165475	61311
3002582	u-eryt	e6/l	e6/l	Number Concentration	1	274033	97830
3018095	u-leuk	e6/l	e6/l	Number Concentration	1	294511	107079
3029879	u-levyep	e6/l	e6/l	Number Concentration	1	81770	35201
3030306	u-pien.ep	e6/l	e6/l	Number Concentration	1	999	848
3030981	u-lieriöt	e6/l	e6/l	Number Concentration	1	59778	26154
3010156	s-hcrp			Mass Concentration		5999	4767
3018010	neutros	%	%	Number Fraction	1	18077	13209
3002030	lymfos	%	%	Number Fraction	1	18423	13251
3019069	monos	%	%	Number Fraction	1	27780	14669
3022096	basof	%	%	Number Fraction	1	18756	13271
3006504	eosin	%	%	Number Fraction	1	18337	13257
3030366	p-kysc	mg/l	mg/l	Mass Concentration	1	52870	11109
-1	e-punasolujenkokojakaum	%				55540	36380
3004410	b-hemoglobiini-a1c	mmol/mol	mmol/mol	Mass fraction	1	57562	41252
3007220	p-ck	u/l	u/l	Catalytic Concentration	1	261032	120038
-1	s-apob/a1-suhde					793	701
-1	tark1(eipaasto)					611	534
-1	kolesteroli/hdl-suhde					33794	25509
-1	p-kalsium,alb.korjattu	mmol/l				1368	1212
-1	glom.suod.nopeusckd-epi	ml/min/173m2				25363	19545
3008486	s-t4-v	pmol/l	pmol/l	Substance Concentration	1	242498	113409
3010566	fp-pth	pmol/l		Substance Concentration		30471	8782
43054903	s-b12-tc2	pmol/l	pmol/l	Substance Concentration	1	176815	104964
-1	s-crp,herkkä					7580	6219
3007164	s-iga	g/l	g/l	Mass Concentration	1	35642	29653
3019050	s-ttgaba	u/ml	u/ml	Arbitrary Concentration	1	32235	26896
43534045	b-lakt-d			Presence or Identity		27787	26215
-1	s-keliakiapakmedium					135	134
3022621	u-ph-o			Log molar concentration		12316	9811
0	u-ominaispaino					34610	17214
3004410	b-ghb-a1c			Mass fraction		50722	28572
40761511	b-pvkt			-		540005	98968
3024135	ps-strvi			Presence or Threshold		159340	96279
3018677	p-aptt	s	s	Time (e.g. seconds)	1	143565	65415
3003191	s-hcg-o			Presence or Threshold		11058	7265
3020044	li-gluk	mmol/l	mmol/l	Substance Concentration	1	13379	10202
3019473	li-prot	mg/l	mg/l	Mass Concentration	1	15651	11422
-1	li-vara					2792	2296
3006140	s-bil	umol/l	umol/l	Substance Concentration	1	15102	11519
3027475	li-eryt	e6/l	e6/l	Number Concentration	1	11759	8027
3016543	li-leuk	e6/l	e6/l	Number Concentration	1	11103	7754
3020630	s-prot	g/l	g/l	Mass Concentration	1	87602	32841
3044290	li-solut			-		14432	10086
-1	li-spektri					1066	1037
0	li-un�k�-o					8207	5222
3023410	li-unäkö-n			Appearance		7261	4524
0	pt-papa-tk					15081	12261
40768804	ts-pad-tk			Finding		20799	15663
0	-ctgcnho					66388	31175
3018095	u-leuk.			Number Concentration		130588	47102
3001079	s-vrab-o			Presence or Threshold		299951	119357
0	ras.aika					9864	6927
3022217	p-tt-inr			Relative time		518457	72874
3048929	s-ebvab			Presence or Threshold		13985	10751
3007080	s-ebvabg	u/ml	u/ml	Arbitrary Concentration	1	7537	6263
3007844	s-ebvabm			Arbitrary Concentration		13695	10616
3012544	vb-ph			Log molar concentration		88675	23702
3000991	vb-he-tase			-		51903	10539
3019284	s-hbsag			Presence or Threshold		144601	83110
3021879	s-hbcab			Presence or Threshold		59491	39780
21492711	s-cmvavi			Presence or Threshold		4799	3712
-1	b-fii-d					7659	6953
3017918	s-cmvab			Titer		15431	10393
3014959	s-toxoabg			Arbitrary Concentration		6440	5147
3027529	s-toxoabm			Arbitrary Concentration		6739	5454
3013527	s-hbcabm			Presence or Threshold		16968	13116
3020287	p-pc	%	%	Relative time	1	7137	6450
3017143	s-hcvab			Presence or Threshold		100550	60035
3014959	s-toxoab			Arbitrary Concentration		7309	5741
3018921	s-toxoaba			Arbitrary Concentration		2101	1807
40760109	s-toxoavi			Ratio		2621	2244
3020629	p-ps-agv	%	%	Relative Mass Concentration	1	5677	5076
-1	p-trombot					8303	7015
3010130	s-cmvabg	au/ml		Arbitrary Concentration		3502	2738
3015635	s-cmvabm			Arbitrary Concentration		14878	10183
3015816	b-fv-d			Presence or Threshold		8102	7361
3026493	p-uraat	umol/l	umol/l	Substance Concentration	1	229062	82055
-1	s-ebvavi					3447	2866
3033658	p-tt.	%	%	Relative time	1	5602	4956
46235689	p-lupusak.			-		6024	4781
46237023	s-hbvpak			-		24037	17219
46235689	p-laaptct			-		6597	5112
0	p-larvvct					6540	5070
3019250	p-fviii.	%	%	Relative time	1	28713	11057
3044355	p-b2gpabg			Arbitrary Concentration		5976	5124
3009041	p-kardabg	u/ml	u/ml	Arbitrary Concentration	1	4429	3480
3018418	s-ph			Log molar concentration		172115	49671
3000515	p-at3.	%	%	Relative catalytic concentration	1	4827	4357
3036489	p.-trombai	s	s	Time (e.g. seconds)	1	5471	4867
3007628	vb-hco3-st	mmol/l	mmol/l	Substance Concentration	1	104777	21632
3049506	nu-alb-mi			Mass Rate		153	129
3036603	virtsamäärä	ml	ml	Volume	1	4495	2728
3022948	fp-fe	umol/l	umol/l	Substance Concentration	1	141885	52668
3004789	fp-transf	g/l	g/l	Mass Concentration	1	145033	53516
3001122	p-ferrit	ug/l	ug/l	Mass Concentration	1	414897	136415
40763571	fp-trfesat	%	%	Ratio	1	88573	32061
-1	pt-lasku					73	70
3019902	-mrsavi			Presence or Threshold		145629	42771
3000067	fp-pth	ng/l	ng/l	Mass Concentration	1	122007	29039
3003458	p-pi	mmol/l	mmol/l	Substance Concentration	1	179614	26569
46236952	pt-gfrekce			Volume Rate/Area		7479	2693
-1	-trvaag					740	670
-1	6630					1189	991
3019900	p-kol	mmol/l	mmol/l	Substance Concentration	1	235317	117064
3001308	p-kol-ldl	mmol/l	mmol/l	Substance Concentration	1	340817	137167
3023520	b-retik			Number Concentration		34694	15236
3027945	e-retik	%	%	Number Fraction	1	121628	45446
3025839	p-trigly	mmol/l	mmol/l	Substance Concentration	1	219538	112744
3023602	p-kol-hdl	mmol/l	mmol/l	Substance Concentration	1	221238	112950
3018387	s-mypnabg			Arbitrary Concentration		8401	7538
3003191	p-hcg-tot			Presence or Threshold		17738	9400
42868674	hdl/kol	%	%	Substance Ratio	1	130585	34214
3001784	psa-v/psa	%	%	Mass fraction	1	25349	8375
3004410	b-ghb-a1c	%	mmol/mol	Mass fraction	10,93*X-23,50	48557	28519
-1	hba1cpika					1379	640
3005570	u-gluk			Substance Concentration		8186	4222
3035350	u-keto			Presence or Threshold		3891	2167
-1	u-sg					3772	2098
